655,2711
2204,790
1091,63
66,1616
767,2412
2525,2846
2403,2186
2564,196
957,1165
1819,1387
255,1032
773,2320
2492,1263
611,982
213,206
1011,386
192,118
2738,1842
920,996
2065,1009
1110,161
2391,2944
1816,2316
386,1098
610,272
2920,1249
136,2477
2423,2149
1397,2660
2491,138
595,1610
331,1426
1600,1525
291,1052
101,275
863,1006
1784,325
1248,527
2355,1038
2376,1193
2927,1064
1588,2933
893,458
2119,1329
1632,2914
2352,545
1465,1202
2732,1504
2609,2125
1173,246
2384,2314
1601,1860
2837,1957
208,2579
1560,298
1595,360
2894,166
2532,1441
678,2047
234,2302
460,2161
564,911
1164,1034
2017,1124
1797,2058
390,1591
516,664
2676,1178
2621,1877
1582,2661
2801,2159
2905,1598
854,602
471,2947
2279,2192
850,1374
434,1498
2530,1278
2319,669
1169,2317
2720,856
817,1996
364,88
217,2993
1722,2503
2031,2087
620,483
2068,213
2957,1799
2021,962
2696,1765
904,2711
60,1516
801,1394
899,2525
1440,236
1240,466
765,635
598,1859
1662,2196
1531,502
2642,598
1717,2476
89,2226
1542,1651
2209,1932
1829,2158
393,1707
1832,2089
374,1938
297,128
2188,2802
2340,1081
2783,1144
1306,846
989,2031
629,855
1644,500
2494,2784
2495,1508
1625,1073
2203,752
2930,249
2472,163
2028,1031
2255,2289
2272,1246
2612,1352
550,280
855,2207
633,871
2977,566
289,1737
1415,365
1647,103
2499,263
1320,376
946,2682
603,1236
1641,289
1813,1560
259,594
2300,20
1787,527
1612,512
1720,2364
2564,2915
840,2514
1669,1894
431,1110
1369,161
2669,1172
1503,1613
1230,1987
650,1514
476,2955
548,2760
1560,489
1940,813
1506,560
1122,612
1624,1627
1372,562
2283,1790
883,388
2956,519
2441,1584
1573,1122
1716,584
1635,194
1886,257
2243,2140
1300,1967
2790,2884
2171,2078
2957,2520
787,2572
2266,178
2317,2250
2690,1071
614,2445
1246,2099
2982,2182
1495,354
1568,2443
1204,2175
1575,2569
2818,1201
721,471
2990,2421
746,2292
2787,850
210,1815
118,1852
16,1798
486,2137
2346,2422
2890,2273
805,1945
2137,1733
2893,763
398,300
1946,2868
1856,1059
1684,2202
2729,2427
1245,2941
2512,2391
2855,555
791,1371
2087,2539
943,2798
1406,1520
2624,1601
20,146
415,2589
2478,169
945,186
2061,1345
2524,48
2816,2512
2375,1588
151,2461
1409,2808
196,2567
2961,850
2025,2706
1433,2727
2601,1523
1354,2317
2707,433
852,1043
1404,2509
1826,1724
1700,1980
194,2800
479,873
2821,434
1991,2024
2028,2501
2261,654
757,1550
2413,1464
