0,unknown
1,unknown
2,unknown
3,unknown
4,unknown
5,unknown
6,unknown
7,unknown
8,2
9,unknown
10,2
11,2
12,unknown
13,unknown
14,unknown
15,2
16,2
17,unknown
18,2
19,2
20,unknown
21,unknown
22,unknown
23,unknown
24,unknown
25,2
26,unknown
27,unknown
28,2
29,2
30,unknown
31,2
32,unknown
33,unknown
34,2
35,unknown
36,unknown
37,unknown
38,unknown
39,unknown
40,unknown
41,2
42,unknown
43,2
44,unknown
45,unknown
46,2
47,unknown
48,unknown
49,2
50,2
51,unknown
52,unknown
53,unknown
54,2
55,unknown
56,unknown
57,unknown
58,unknown
59,unknown
60,unknown
61,unknown
62,unknown
63,unknown
64,unknown
65,unknown
66,2
67,1
68,unknown
69,unknown
70,unknown
71,unknown
72,unknown
73,unknown
74,2
75,2
76,unknown
77,unknown
78,unknown
79,unknown
80,unknown
81,unknown
82,unknown
83,2
84,unknown
85,unknown
86,unknown
87,unknown
88,unknown
89,2
90,2
91,2
92,unknown
93,unknown
94,unknown
95,unknown
96,2
97,2
98,unknown
99,2
100,unknown
101,2
102,unknown
103,unknown
104,2
105,2
106,unknown
107,2
108,unknown
109,unknown
110,2
111,unknown
112,unknown
113,unknown
114,unknown
115,2
116,1
117,unknown
118,unknown
119,2
120,2
121,unknown
122,unknown
123,2
124,unknown
125,unknown
126,unknown
127,2
128,2
129,unknown
130,unknown
131,unknown
132,unknown
133,unknown
134,unknown
135,unknown
136,unknown
137,unknown
138,2
139,unknown
140,unknown
141,2
142,unknown
143,2
144,2
145,unknown
146,unknown
147,unknown
148,unknown
149,unknown
150,2
151,2
152,2
153,2
154,unknown
155,unknown
156,2
157,unknown
158,unknown
159,2
160,2
161,unknown
162,unknown
163,2
164,unknown
165,unknown
166,unknown
167,2
168,2
169,unknown
170,unknown
171,unknown
172,unknown
173,2
174,unknown
175,unknown
176,unknown
177,unknown
178,unknown
179,unknown
180,unknown
181,unknown
182,unknown
183,unknown
184,2
185,2
186,unknown
187,unknown
188,unknown
189,unknown
190,unknown
191,unknown
192,2
193,unknown
194,unknown
195,unknown
196,2
197,unknown
198,unknown
199,unknown
200,unknown
201,unknown
202,unknown
203,unknown
204,unknown
205,unknown
206,2
207,unknown
208,unknown
209,unknown
210,unknown
211,unknown
212,unknown
213,unknown
214,unknown
215,unknown
216,unknown
217,unknown
218,unknown
219,unknown
220,1
221,2
222,unknown
223,unknown
224,unknown
225,2
226,unknown
227,unknown
228,2
229,unknown
230,unknown
231,2
232,unknown
233,2
234,unknown
235,unknown
236,unknown
237,2
238,unknown
239,unknown
240,2
241,2
242,1
243,unknown
244,unknown
245,unknown
246,unknown
247,unknown
248,unknown
249,unknown
250,unknown
251,2
252,unknown
253,unknown
254,unknown
255,unknown
256,2
257,unknown
